Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S214959177,Gray Heron,Ardea cinerea,7745,X,DE-NW,Städteregion Aachen,L40525140,hôtel matin déjeuner,50.5611992,6.2348213,2025-02-23,,eBird - Casual Observation,,0,,,1
S265955645,Purple Heron,Ardea purpurea,7766,X,FR-PAC,Bouches-du-Rhône,L51227968,pleine nuit juste à côté plusieurs aller retour gueule voix cassée,43.4226532,5.1977258,2025-08-09,,eBird - Casual Observation,,0,,,1
S271920499,Osprey,Pandion haliaetus,7832,X,FR-HDF,Nord,L52532970,"matin avec H voiture, lever soleil, pêche 2 fois depuis arbre en piqué",50.4648056,3.6096394,2025-09-07,,eBird - Casual Observation,,0,,,1
S327552896,Black-winged Kite,Elanus caeruleus,7846,X,ES-AN,Sevilla,L63973015,"loin, gpm ont vu proche",37.3286662,-5.2104039,2026-04-26,,eBird - Casual Observation,,0,,,1
S326501469,European Honey-buzzard,Pernis apivorus,7905,X,ES-AN,Cádiz,L63752943,stop voiture Gilles roi des bondrée,36.0538398,-5.5503068,2026-04-24,,eBird - Casual Observation,,0,,,1
S326603691,Eurasian Griffon,Gyps fulvus,7947,X,ES-AN,Cádiz,L63773850,a la recherche du martinet cafre,36.1154633,-5.7651038,2026-04-24,,eBird - Casual Observation,,0,,,1
S328501535,Short-toed Snake-Eagle,Circaetus gallicus,7993,X,ES-AN,Sevilla,L64158445,blanc voiture golden goal,37.1765175,-6.254261,2026-04-27,,eBird - Casual Observation,,0,,,1
S322390567,Booted Eagle,Hieraaetus pennatus,8047,X,MA-11,,L62935209,"Pablo disait une buse féroce mais pas là, pas Milan",31.6323795,-7.9826179,2026-04-16,,eBird - Casual Observation,,0,,,1
S266227224,Eurasian Sparrowhawk,Accipiter nisus,8245,X,FR-OCC,Aveyron,L51292845,"Golinhac, Occitanie, FR",44.6232861,2.5800228,2025-08-10,,eBird - Casual Observation,,0,,,1
S267677333,Western Marsh Harrier,Circus aeruginosus,8306,X,FR-GES,Marne,L51617124,avec Vince,48.5698967,4.6899023,2025-08-16,,eBird - Casual Observation,,0,,,1
S265839210,Black Kite,Milvus migrans,8345,X,FR-PAC,Bouches-du-Rhône,L51198658,après avoir déposé Hannah,43.4602356,5.3313284,2025-08-08,,eBird - Casual Observation,,0,,,1
S212031470,Common Buzzard,Buteo buteo,8543,X,BE-WAL,Luxembourg,L39897650,Ronzon,50.2357216,5.5091076,2025-02-05,,eBird - Casual Observation,,0,,,1
S265505712,Eurasian Scops-Owl,Otus scops,8747,X,IT-34,,L51125435,park4night avec Hannah,45.4346313,10.7923441,2025-08-07,,eBird - Casual Observation,,0,,,1
S271920626,Little Owl,Athene noctua,9107,X,FR-HDF,Nord,L52532989,"deux soirs, we harchies, cris",50.4655002,3.6098956,2025-09-07,,eBird - Casual Observation,,0,,,1
S256679695,Tawny Owl,Strix aluco,9199,X,BE-WAL,Luxembourg,L49041109,le soir avec Hannah,50.2278481,5.5165606,2025-07-04,,eBird - Casual Observation,,0,,,1
S327527435,Common Hoopoe,Upupa epops,9604,X,ES-AN,Sevilla,L63967585,tutututu,37.3406328,-5.2102587,2026-04-26,,eBird - Casual Observation,,0,,,1
S323981508,Blue-cheeked Bee-eater,Merops persicus,9820,X,MA-13,,L63255852,lac projet immobilier abandonné,30.9705868,-6.7346854,2026-04-19,,eBird - Casual Observation,,0,,,1
S324202834,European Bee-eater,Merops apiaster,9829,X,MA-13,,L63302764,oasis bien vu fil magnifique !,31.0725021,-6.5753784,2026-04-19,,eBird - Casual Observation,,0,,,1
S265966195,Common Kingfisher,Alcedo atthis,9912,X,FR-PAC,Bouches-du-Rhône,L51230626,"réveil bord étang tit vol au proche de l'eau, couleurs",43.422532,5.1984614,2025-08-09,,eBird - Casual Observation,,0,,,1
S327581808,European Roller,Coracias garrulus,10328,X,ES-AN,Sevilla,L63980272,"vol suivi en voiture, bien bleu",37.3179893,-5.2142973,2026-04-26,,eBird - Casual Observation,,0,,,1
S266510184,Middle Spotted Woodpecker,Dendrocoptes medius,11266,X,FR-OCC,Aveyron,L51355907,matin camping zapa,44.6155357,2.5811396,2025-08-11,,eBird - Casual Observation,,0,,,1
S212031446,Great Spotted Woodpecker,Dendrocopos major,11349,X,BE-WAL,Luxembourg,L39897650,Ronzon,50.2357216,5.5091076,2025-02-05,,eBird - Casual Observation,,0,,,1
S214774147,Eurasian Green Woodpecker,Picus viridis,11673,X,DE-NW,Städteregion Aachen,L40485121,montjoie,50.5609283,6.2349339,2025-02-22,,eBird - Casual Observation,,0,,,1
S215031026,Black Woodpecker,Dryocopus martius,11784,X,BE-WAL,Liège,L40540324,balade hautes fagnes hyper clair,50.6365471,6.138865,2025-02-23,,eBird - Casual Observation,,0,,,1
S271722365,Eurasian Kestrel,Falco tinnunculus,11993,X,FR-HDF,Pas-de-Calais,L52488888,vol stationnaire Ambleteuse+ vu avec Jonas,50.8059633,1.6054614,2025-09-06,,eBird - Casual Observation,,0,,,1
S216830368,Peregrine Falcon,Falco peregrinus,12114,X,BE-BRU,,L40340087,ULB,50.8134724,4.3811684,2025-03-06,,eBird - Casual Observation,,0,,,1
S216614273,Rose-ringed Parakeet,Psittacula krameri,12350,X,BE-BRU,,L40455214,Fovel matin,50.8435669,4.341136,2025-03-04,,eBird - Casual Observation,,0,,,1
S322973151,Great Gray Shrike,Lanius excubitor,21112,X,MA-11,,L63042627,palmeraie,31.6658382,-7.9808764,2026-04-17,,eBird - Casual Observation,,0,,,1
S323576827,Woodchat Shrike,Lanius senator,21161,X,MA-13,,L63164681,excursion source,31.2710438,-7.4166007,2026-04-18,,eBird - Casual Observation,,0,,,1
S211918775,Eurasian Jay,Garrulus glandarius,21339,X,BE-WAL,Luxembourg,L39897650,Ronzon,50.2357216,5.5091076,2025-02-04,,eBird - Casual Observation,,0,,,1
